,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
194.0,5.5194600000000005,2.2571175,1.4670600000000003,4.73387,1205.65,327.25,1398.6,10,10,10,10,10,10,10
195.0,5.521205,2.252765,1.45715,4.7385,1208.55,326.575,1398.5,10,10,10,10,10,10,10
196.0,5.5229725,2.2484225,1.4472900000000002,4.74317,1210.95,325.925,1397.9,10,10,10,10,10,10,10
197.0,5.5247425,2.244095,1.4375300000000002,4.74788,1212.95,325.075,1397.1,10,10,10,10,10,10,10
198.0,5.526515,2.2397774999999998,1.42785,4.7526399999999995,1215.65,324.075,1396.4,10,10,10,10,10,10,10
199.0,5.528314999999999,2.2354749999999997,1.41819,4.75739,1218.35,323.2,1395.6,10,10,10,10,10,10,10
200.0,5.5301225,2.2311875,1.4086500000000002,4.76219,1220.55,322.2,1394.2,10,10,10,10,10,10,10
201.0,5.5319400000000005,2.2269,1.39916,4.767010000000001,1223.05,321.525,1393.0,10,10,10,10,10,10,10
202.0,5.53377,2.2226225,1.3897299999999997,4.77186,1224.35,320.7,1390.9,10,10,10,10,10,10,10
203.0,5.5356025,2.2183725,1.3803699999999999,4.77674,1226.05,319.9,1389.6,10,10,10,10,10,10,10
204.0,5.537455,2.2141349999999997,1.37109,4.781650000000001,1227.95,319.05,1388.5,10,10,10,10,10,10,10
205.0,5.539315,2.2099,1.3618700000000001,4.7866100000000005,1229.45,318.125,1386.6,10,10,10,10,10,10,10
206.0,5.541195,2.205675,1.3527,4.79157,1232.35,317.325,1385.2,10,10,10,10,10,10,10
207.0,5.5430775,2.2014575,1.3436100000000002,4.79657,1234.25,316.15,1383.9,10,10,10,10,10,10,10
208.0,5.54496,2.1972549999999997,1.3346,4.80159,1237.65,315.3,1382.4,10,10,10,10,10,10,10
209.0,5.546877500000001,2.1930575,1.32563,4.806629999999999,1241.45,314.375,1379.6,10,10,10,10,10,10,10
210.0,5.5488025,2.1888850000000004,1.31675,4.811719999999999,1244.35,313.575,1377.5,10,10,10,10,10,10,10
211.0,5.550727500000001,2.1847175,1.3079100000000001,4.81682,1248.35,312.675,1375.4,10,10,10,10,10,10,10
212.0,5.552672500000001,2.1805575,1.29916,4.82197,1251.65,311.825,1372.5,10,10,10,10,10,10,10
213.0,5.5546325,2.1764125,1.29047,4.82711,1255.65,310.775,1370.1,10,10,10,10,10,10,10
